full_name,state,population,unemp,health_ins,poverty,snap,price_bbn,wired_bbn,provide_bbn,all25_bbn,downave_bbn,access_bbn,slowfrac_bbn,density,minority_percentage,no_internet,median_income
"Delaware County, Indiana",Indiana,114135,3.9,9,21.5,14.1,35,4.374578959,13.23238912,7.17238483,86.48721911,100,0.231523463,113.8465819,0.11158715556139664,23.4,45065
"Elkhart County, Indiana",Indiana,206341,3.1,15.2,13.3,9.7,49.95,4.468350405,16.33239774,7.071633744,53.67376554,97.73033606,0.472792807,169.7260192,0.1684056973650414,21.9,54531
"Floyd County, Indiana",Indiana,78522,3.2,5.6,9.9,8,35,5.653650208,14.65365021,7.718957398,63.09539407,99.49058189,0.058711756,200.4267844,0.09598583836377061,22.8,63219
"Grant County, Indiana",Indiana,65769,3.7,9,19.2,16.1,35,9.893160728,22.45814031,12.22204904,61.91973691,94.99437156,0.190457635,62.42078621,0.12667061989691197,30.1,47206
"Hamilton County, Indiana",Indiana,338011,2.5,5,4.7,3,35,8.696551956,17.25624659,10.0754409,90.12416791,99.37862377,0.09645709,309.5004043,0.14072914786796875,6.5,105062
"Hancock County, Indiana",Indiana,78168,2.8,7.1,7.1,5.1,35,8.414634919,18.08523042,10.25315654,86.49008238,99.81048112,0.038401217,93.1702752,NA,15.5,69392
"Hendricks County, Indiana",Indiana,170311,2.7,6.4,5.3,4,35,8.254959548,16.08827441,10.2281392,101.6794073,97.98514115,0.112957363,152.7163239,0.14633229797253255,12.4,85381
"Howard County, Indiana",Indiana,82544,4,7.7,15.9,13.4,35,5.910341132,18.42894565,8.123843543,57.81713627,93.96033816,0.126867893,108.5658021,NA,23.2,53440
"Johnson County, Indiana",Indiana,158167,2.7,7.2,8.7,6.6,35,8.969852199,17.28676013,10.46257967,96.69321049,96.61150055,0.157921661,182.6191346,0.10500293993057974,15.3,73651
"Kosciusko County, Indiana",Indiana,79456,2.8,10.7,10.3,7.2,49.95,4.757918036,13.92246294,8.124555638,50.31716252,98.11071165,0.421544034,57.25465489,0.08237263391059202,22,64099
"Lake County, Indiana",Indiana,485493,4.9,8.6,16.5,14,35,5.526823471,13.89064586,8.531076266,92.75144082,99.86042937,0.714697995,376.8351487,0.36543678281664205,22.2,57081
"LaPorte County, Indiana",Indiana,109888,4.3,8.7,16.5,13.7,35,6.801201394,15.80993213,8.789407557,85.11113197,99.59991746,0.110409024,71.34668635,0.17088308095515437,22.2,56019
"Madison County, Indiana",Indiana,129569,3.7,8.8,17.2,14.3,35,5.073146709,13.87498085,7.313357701,84.63551263,99.92745154,0.26767931,110.6436258,0.11938812524600795,22.2,55142
"Marion County, Indiana",Indiana,964582,3.3,11.3,19,14.6,35,6.634428003,14.09626654,8.725018333,83.57335297,99.07729602,0.902013071,919.8842006,0.3896309489499078,23.2,50458
"Monroe County, Indiana",Indiana,148431,3.3,7.7,24.3,8.2,35,7.039776272,13.50080375,9.039776272,90.54815307,99.21409015,0.135565228,142.2998736,0.14007855501883026,16.9,52453
"Morgan County, Indiana",Indiana,70489,3.1,8.1,11.3,8.9,45,8.443606217,17.19492845,11.31300496,74.42658149,93.39905578,0.124338882,66.66490505,NA,20.7,62862
"Porter County, Indiana",Indiana,170389,3.7,6.3,10.2,7.1,35,4.834310897,14.21027234,8.026384706,104.3463189,100,0.103065851,155.1921167,0.09330414522064223,16.5,72483
